state,repvote,region
AL,0.643741436,South
AK,0.583856547,West
AZ,0.518900234,West
AR,0.642851377,South
CA,0.338717892,West
CO,0.473166666,West
CT,0.428584525,Northeast
DE,0.440013786,South
FL,0.506188355,South
GA,0.526611726,South
HI,0.325586625,West
ID,0.683101767,West
IL,0.409799486,North Central
IN,0.601173095,North Central
IA,0.550635478,North Central
KS,0.611114703,North Central
KY,0.65670629,South
LA,0.601716772,South
ME,0.484032089,Northeast
MD,0.359837503,South
MA,0.353487213,Northeast
MI,0.501176682,North Central
MN,0.491681431,North Central
MS,0.590898473,South
MO,0.59818561,North Central
MT,0.611096643,West
NE,0.635476741,North Central
NV,0.487062906,West
NH,0.498029716,Northeast
NJ,0.427158099,Northeast
NM,0.453492051,West
NY,0.382275815,Northeast
NC,0.519037458,South
ND,0.698092429,North Central
OH,0.542676846,North Central
OK,0.693047372,South
OR,0.438441611,West
PA,0.503755358,Northeast
RI,0.416892959,Northeast
SC,0.574602564,South
SD,0.659718581,North Central
TN,0.63624343,South
TX,0.547132256,South
UT,0.623836582,West
VT,0.348135737,Northeast
VA,0.471736237,South
WA,0.412130688,West
WV,0.721610523,South
WI,0.50407989,North Central
WY,0.757053196,West
